date,amount,description,merchant
2026-01-01,75000,SALARY CREDIT JAN 2026 - ACME CORP,ACME Corp
2026-01-01,-25000,RENT PAYMENT JAN 2026,Landlord
2026-01-02,-2500,BSES ELECTRICITY BILL JAN,BSES Delhi
2026-01-02,-800,DELHI JAL BOARD WATER BILL JAN,Delhi Jal Board
2026-01-03,-999,JIO FIBER MONTHLY JAN,Jio
2026-01-04,-1400,BIGBASKET WEEKLY GROCERY ORDER,BigBasket
2026-01-07,-950,DMART GROCERY PURCHASE,DMart
2026-01-10,-1200,BIGBASKET WEEKLY GROCERY ORDER,BigBasket
2026-01-14,-680,MORE MEGASTORE BILL,More Supermarket
2026-01-03,-350,UBER RIDE TO OFFICE,Uber
2026-01-06,-200,OLA AUTO RIDE,Ola
2026-01-09,-150,DELHI METRO RECHARGE,Metro Rail
2026-01-13,-280,UBER RIDE AIRPORT,Uber
2026-01-17,-180,OLA RIDE HOME,Ola
2026-01-02,-499,NETFLIX SUBSCRIPTION JAN,Netflix
2026-01-02,-299,SPOTIFY PREMIUM JAN,Spotify
2026-01-15,-750,PVR MOVIE TICKETS,PVR Cinemas
2026-01-05,-850,SWIGGY ORDER DINNER,Swiggy
2026-01-08,-1200,ZOMATO DINNER ORDER,Zomato
2026-01-12,-650,SWIGGY LUNCH ORDER,Swiggy
2026-01-18,-500,DOMINOS PIZZA ORDER,Dominos
2026-01-06,-2800,AMAZON ORDER ELECTRONICS,Amazon
2026-01-11,-1500,FLIPKART ORDER,Flipkart
2026-01-20,-1200,MYNTRA FASHION ORDER,Myntra
2026-01-08,-500,APOLLO PHARMACY MEDICINES,Apollo Pharmacy
2026-01-10,-5000,LIC PREMIUM JAN 2026,LIC
2026-01-15,-2500,SIP MUTUAL FUND JAN 2026,Zerodha
2026-01-15,-5000,PPF CONTRIBUTION JAN 2026,SBI PPF
2026-01-25,-3000,EMERGENCY FUND TRANSFER JAN,HDFC Savings
2026-01-19,-1500,UDEMY COURSE PURCHASE,Udemy
2026-01-22,-350,PERSONAL CARE PRODUCTS,Nykaa
2026-02-01,78000,SALARY CREDIT FEB 2026 - ACME CORP,ACME Corp
2026-02-01,-25000,RENT PAYMENT FEB 2026,Landlord
2026-02-02,-2600,BSES ELECTRICITY BILL FEB,BSES Delhi
2026-02-02,-800,DELHI JAL BOARD WATER BILL FEB,Delhi Jal Board
